comment,toxicity_score,threat_score,classification
Found them He has already told us that the documents concern his registration of the name El Marino As to whether these supposed documents say anything whatsoever about a newspaper published in 1917 I have no idea  but they arent a thirdparty source either way They are primarysource documents confirming his personal actions,0.027088705,0.00780612,non-toxic
  Draga apparently means Dear Google Translate Yes I am able to understand almost every Romance language at an intermediate level I never stated that I could speak Romanian Also I removed the babel list because I could not find a proper position for it as it took too much space and made my userpage long How is that any of your concern   ,0.09785384,0.008815889,non-toxic
Wikimania  Hello  Were chatting right now at Wikimania  Pleased to meet you,0.020842785,0.010835429,non-toxic
Thanks for experimenting with Wikipedia Your test worked and has been reverted or removed Please use the sandbox for any other tests you want to do Take a look at the welcome page if you would like to learn more about contributing to our encyclopedia Thanks     comment moved from user page by  ,0.011246625,0.008285114,non-toxic
for all peoples living East of a certain line like the Vistula because he distinguishes them from other large ethnic groups in the same area the Fenni probably FinnoUgric and the Sarmatians themselves Taking that together with Jordanes,0.09033044,0.009411395,non-toxic
  PS IMHO this all falls under the category created by  on her talk page which she appropriately refers to as loopy talk page discussionsscoldings  ,0.11223003,0.008841781,non-toxic
REDIRECT TalkPonhook Lake 10,0.010115679,0.007819066,non-toxic
  Use of Nepal Bhasa  The term Nepal Bhasa is used in English officially as well as commonly Here are some examples and facts about its use   Google ngram search shows that Nepal Bhasha has exceeded the use of Newar language here   Government of Nepal see picture of news about the Governments stance is there in the page itself    Nepal Bhasa Academy in its publications and awards   Nepal Bhasa Parishad in its publications and awards   World Newah Organization examples of use in page 23 and 7   Central Department of Nepal Bhasa Tribhuwan University the only university with curriculum in Nepal Bhasa News about scholarship in Nepal Bhasa   Nepa Pasa Pucha Americaye An example see page 9   Pasa Pucha Guthi UK An example   Rising Nepal daily Example   Dharmodaya Sabha the national Buddhist organization of Nepal The publications in the language are listed as Nepal Bhasa   Asha Archives the biggest archive of Nepal Bhasa literature Website   Journal of Lumbini Buddha Dharma Society Example   Journal of Newar Studies An example    Archive of English essay about Tipitaka translation project in Nepal Bhasa they have been publishing various segments of Tipitaka in Nepal Bhasa   Lotus research center Activities in Nepal Bhasa    EnglishNepal Bhasa dictionary in Amazon   Mobile phone Nepal Bhasa dictionary app   Matina international website   Miss Newa Miss best Nepal Bhasa is one of the categories Official website with contestants talking about Nepal BhasaTHT news about using Nepal Bhasa   Nepalmandalcom one of the very few websites in Nepal Bhasa stating their objectives regarding Nepal Bhasa   Image Channel Nepal Bhasa section  Thank you  ,0.043646812,0.010680079,non-toxic
If the indigenous population is so low why do they think they deserve everything,0.31547862,0.01238892,non-toxic
 No more April Foold edits by me in the article space   I will not make any more April Fools edits in the article space  Just in case you never saw it here is my April Fools edit from last year,0.29405528,0.0116639575,non-toxic
I absolutely agree with you Something is very wrong with my English if you misunderstood me as though I said all Haredim regected Rabbi Hirschs way What I said was actually quite the oppositeIn the beginning Agudat Israel was based on the legacy of Torah im Derech Erech Afterwards the Litvaks changed it but even today there is no dichotomy between Agudat Israel and Rabbi Hirschs way,0.043646812,0.007754337,non-toxic
Well it sucks to have a university to be nicknameless And its the first time in NCAA history that it has happened ,0.45703048,0.0072753434,non-toxic
 Argh   Some random idiot deleted the whole Japan article ,0.7510937,0.021645326,non-toxic
Hello everyone Im just here to tell you that youre all freaks,0.62702215,0.011094344,non-toxic
Thank you for your suggestion When you feel an article needs improvement please feel free to make those changes  Wikipedia is a wiki so anyone can edit almost any article by simply following the  link at the top The Wikipedia community encourages you to be bold in updating pages Dont worry too much about making honest mistakes — theyre likely to be found and corrected quickly If youre not sure how editing works check out how to edit a page or use the sandbox to try out your editing skills  New contributors are always welcome You dont even need to log in although there are many reasons why you might want to,0.024849601,0.009126588,non-toxic
 so I propose merging African Bush Elephant into African Savanna Elephant,0.36095104,0.06658544,non-toxic
Rob I actually like having you around for no other reason than you have a different POV from those with a Christian perspective  However I also find you to be overly disruptive  Yes I understand as well as everyone else your position that factual evidence does not exist  Yes we understand that there are scholars that support that position  No they are not the majority  They are not even a significant minority  They are a very small group that contends Jesus did not exist  You have registered your POV and we are aware of it  I ask that you now move on and address the article as a whole and accept that your position has already been accounted for in the article  When you fight so hard and become so obstinate you lose the respect of your fellow editors and your POV is shut out almost completely  You have become a source of conflict and contention  Please recognize that your current methods are not working  Find another way to interact with your fellow editors so that your POV is at least a chance of being heard,0.2028889,0.0073789097,non-toxic
 see Axial tilt,0.03592727,0.011560392,non-toxic
That site is full of people gnashing their teeth over the fact that theyve been banned from Wikipedia only a handful of the contributors there have routinely displayed well thought out and reasoned criticisms of Wikipedia  I wouldnt include thekohser in said handful ,0.2763787,0.013010317,non-toxic
   You have my trust But trust me on this checkuser work will just eat you up burn you out and I guarantee youll hate it Seriously    ,0.5532103,0.5330498,toxic and contains threats
  We dont include honnorifics outside the intitial mention in the BLP of the person  It is clearly being used here to puff up the claim made by Krugman and it doesnt help that Krugman has turned from economist to partisan commentator over the past few years  Furthermore once you start including the honorrific titles of some you have include them for all  After your contentious discussion regarding Conservative above I would have thought you had come to some rational level of thought  Why should we not label Krugman a Liberal since he calls himself that and it is a dominant aspect of his opinion    ,0.15766735,0.0077025536,non-toxic
 This page requires a criticism of Charismatic movement as well   Opinions,0.026263772,0.008492245,non-toxic
 2011 UTC  Miroirs is also a gorgeous piece and I look forwards to seeing what you do with all that beautiful tone painting    0709 1 March,0.013697007,0.009023022,non-toxic
  Imposter  There is an imposter of you DJelanoy FYI   ,0.39021665,0.012803185,non-toxic
REDIRECT Talk2005–06 ChappellHadlee Trophy,0.0061573703,0.0069646453,non-toxic
   Huzzah    styleborder 1px solid gray backgroundcolor fdffe7  rowspan2 valignmiddle    rowspan2   stylefontsize xlarge padding 0 verticalalign middle height 11em  The RickK AntiVandalism Barnstar    styleverticalalign middle bordertop 1px solid gray  For your tireless reverts of the crap that gets thrown onto the Mortal Kombat articles keep it up dude ≈    ,0.40891263,0.042662576,non-toxic
disagreeing is not being against the existance of a state of jews I may disagree with israel on a spec policy but id die for its survival Im a zionist A nonzionist might disagree as i might on policy but would not care about its survivali disagree within wikipedia but i want wikipedia,0.2553839,0.085497424,non-toxic
on that cell  it appears that it made it from Cornwall to London in just 35 hours  a distance of about 250 miles as the crow flies meaning an average speed of about 71 MpH Thats quite a speed over that distance I think,0.012314741,0.007094103,non-toxic
 Dispute tag   I removed a dispute tag that had no substantiation on this talk page  If someone has a real dispute they should feel free to reinstate the tag and open discussion here,0.04686289,0.011275585,non-toxic
fixed the double redirects,0.023199737,0.009307829,non-toxic
Nick but its citation is presented here on the US Army history site httpwwwhistoryarmymilhtmlforcestrucvuacitationshtml   Don Brunett,0.01834645,0.008867673,non-toxic
   Im very sorry to disappoint you but its not possible to reach any possitive attitude with Maurice nor Mountolive since they wastes time to ban any contribution from all Catalanspeaker user They imposes their own personal and chauvinist opinions above of the external sources were giving alltime in all discussions They want to impose some kind of badcalled consensus when there are facts and external references that dont endorses this selfcalled consensus Discussing about things not related to language territory and colective conception of the people related to this language and territory No thanks If both theyre really interested about this they can work on this alone they dont need help from anyone of us Salutacions   ,0.25462922,0.015947454,non-toxic
covered by it and is,0.015393426,0.007935578,non-toxic
 Hi   Hi Ive not spoken to you in a while so I thought Id pop round and say hi  I also have a question but that is of course just a coincidence As you seem to know a lot about policy I thought youre the person to ask the following what is the policy on redlinks So hello and thanks,0.02308189,0.00823333,non-toxic
there is a note added to the bottom that someone needs to integrate into the body of the article  i unfortunately dont know enough about the subject to do that,0.025556687,0.008155655,non-toxic
 Thanks an edit summary suggestion   Hey thanks for your quick response to my request for reviewer rights I must confess though that when I saw your edit summary →UserAjbpearce d I did a double take and thought you had  denied my request   it was only on checking that it was clear that you had  simply responded done to my request As edit summaries are always an areas I am looking to improve on personally and as you seem to be one of the main admins at WPPERMRW recently  I thought I would mention it as something that might cause confusion thanks,0.034277402,0.009256045,non-toxic
   A Teams   I think the article needs a sentence or two explaining why the three strongest nations didnt enter their First teams Presumably a clash with the World T20   ,0.018849092,0.007624879,non-toxic
 Youd think so wouldnt you But it seems not,0.03062413,0.0074824756,non-toxic
 If he is sure he can clean it up similarly to the other one yesterday no problem with me,0.02343543,0.009540852,non-toxic
  Urg this guy is damn annoying man  ,0.75208336,0.027861187,non-toxic
 Edit request from 8110315552 13 July 2010   Miley Was Born In England and Grew up in amreica She Hates Her Brother Tracey Cyrus,0.38811707,0.018537397,non-toxic
nick ta mere salope de merde et va te faire enculer par ton pere fils de pute   si non je taime fort   love you beach,0.91625386,0.35782173,toxic
Thank you for your contributions to Wikipedia As a member of the Wikipedia community I would like to remind you of Wikipedias neutralpointofview policy for editors which you appear to have violated at Axl Rose In the meantime please be bold and continue contributing to Wikipedia Thank you   If you feel that the edit I reverted should not have been reverted please contact me,0.049336795,0.0100069,non-toxic
   Implication I engage in sexual abuse   Your claim which is open to the implication that you engage in sexual abuse may leave you liable to police investigation and criminal prosecution Your identity can be traced  You cant possibly believe that I LIKE TO WANK SMALL BOYS  YES I DO  I LIKE TO PLAY WITH THEIR WILLIES is a bona fide admission of sexual abuse surely Insane  ,0.584095,0.1401159,non-toxic
Seasons tidings   To you and yours Have a Merry  fill in the blank and Happy New Year,0.031213367,0.0077672824,non-toxic
You can find out many information from History of the Mongols from the 9th to the 19th century by Henry H Howorth The Cambridge history of China Volume 2 edDenis Crispin Twitchett John King Fairbank Christopher PAtwoodEncyclopedia of Mongolia and the Mongol Empire  	   Mongolias culture and society by Sechin Jagchid The Jewel Translucent Sutra Altan Khan and the Mongols in the Sixteenth Century I like the first three best but it is just my opinion,0.025203144,0.009048914,non-toxic
 21 January 2006 UTC   Yeah in fact in English no one will ever confuse the language with the adjective so theres no ambiguity at all It was just an observation   1422,0.04760506,0.009100696,non-toxic
Online coverage is acceptable if the coverage is independent not related to the album artist label publisher etc and reliable You can read about reliability here WPRS  Blogs forums etc do not count,0.046120718,0.007974415,non-toxic
